genotype,date,name,location
ARS,251218,G1 R1,I:\Confocal\By Date\251218 Esg Dl\ARS\G1 R1.czi
ARS,251218,G1 R2,I:\Confocal\By Date\251218 Esg Dl\ARS\G1 R2.czi
ARS,251218,G1 R3,I:\Confocal\By Date\251218 Esg Dl\ARS\G1 R3.czi
ARS,251218,G1 R4,I:\Confocal\By Date\251218 Esg Dl\ARS\G1 R4.czi
ARS,251218,G1 R5,I:\Confocal\By Date\251218 Esg Dl\ARS\G1 R5.czi
ARS,251218,G2 R1,I:\Confocal\By Date\251218 Esg Dl\ARS\G2 R1.czi
ARS,251218,G2 R2,I:\Confocal\By Date\251218 Esg Dl\ARS\G2 R2.czi
ARS,251218,G2 R3,I:\Confocal\By Date\251218 Esg Dl\ARS\G2 R3.czi
ARS,251218,G2 R4,I:\Confocal\By Date\251218 Esg Dl\ARS\G2 R4.czi
ARS,251218,G2 R5,I:\Confocal\By Date\251218 Esg Dl\ARS\G2 R5.czi
ARS,251218,G3 R1,I:\Confocal\By Date\251218 Esg Dl\ARS\G3 R1.czi
ARS,251218,G3 R2,I:\Confocal\By Date\251218 Esg Dl\ARS\G3 R2.czi
ARS,251218,G3 R3,I:\Confocal\By Date\251218 Esg Dl\ARS\G3 R3.czi
ARS,251218,G3 R4,I:\Confocal\By Date\251218 Esg Dl\ARS\G3 R4.czi
ARS,251218,G3 R5,I:\Confocal\By Date\251218 Esg Dl\ARS\G3 R5.czi
ARS,251218,G4 R1,I:\Confocal\By Date\251218 Esg Dl\ARS\G4 R1.czi
ARS,251218,G4 R2,I:\Confocal\By Date\251218 Esg Dl\ARS\G4 R2.czi
ARS,251218,G4 R3,I:\Confocal\By Date\251218 Esg Dl\ARS\G4 R3.czi
ARS,251218,G4 R4,I:\Confocal\By Date\251218 Esg Dl\ARS\G4 R4.czi
ARS,251218,G4 R5,I:\Confocal\By Date\251218 Esg Dl\ARS\G4 R5.czi
ARS,251218,G5 R1,I:\Confocal\By Date\251218 Esg Dl\ARS\G5 R1.czi
ARS,251218,G5 R2,I:\Confocal\By Date\251218 Esg Dl\ARS\G5 R2.czi
ARS,251218,G5 R3,I:\Confocal\By Date\251218 Esg Dl\ARS\G5 R3.czi
ARS,251218,G5 R4,I:\Confocal\By Date\251218 Esg Dl\ARS\G5 R4.czi
ARS,251218,G5 R5,I:\Confocal\By Date\251218 Esg Dl\ARS\G5 R5.czi
AR,251218,G1 R1,I:\Confocal\By Date\251218 Baiser PDM1\AR\G1 R1.czi
AR,251218,G1 R2,I:\Confocal\By Date\251218 Baiser PDM1\AR\G1 R2.czi
AR,251218,G1 R3,I:\Confocal\By Date\251218 Baiser PDM1\AR\G1 R3.czi
AR,251218,G1 R4,I:\Confocal\By Date\251218 Baiser PDM1\AR\G1 R4.czi
AR,251218,G1 R5,I:\Confocal\By Date\251218 Baiser PDM1\AR\G1 R5.czi
AR,251218,G2 R1,I:\Confocal\By Date\251218 Baiser PDM1\AR\G2 R1.czi
AR,251218,G2 R2,I:\Confocal\By Date\251218 Baiser PDM1\AR\G2 R2.czi
AR,251218,G2 R3,I:\Confocal\By Date\251218 Baiser PDM1\AR\G2 R3.czi
AR,251218,G2 R4,I:\Confocal\By Date\251218 Baiser PDM1\AR\G2 R4.czi
AR,251218,G2 R5,I:\Confocal\By Date\251218 Baiser PDM1\AR\G2 R5.czi
AR,251218,G3 R1,I:\Confocal\By Date\251218 Baiser PDM1\AR\G3 R1.czi
AR,251218,G3 R2,I:\Confocal\By Date\251218 Baiser PDM1\AR\G3 R2.czi
AR,251218,G3 R3,I:\Confocal\By Date\251218 Baiser PDM1\AR\G3 R3.czi
AR,251218,G3 R4,I:\Confocal\By Date\251218 Baiser PDM1\AR\G3 R4.czi
AR,251218,G3 R5,I:\Confocal\By Date\251218 Baiser PDM1\AR\G3 R5.czi
AR,251218,G4 R1,I:\Confocal\By Date\251218 Baiser PDM1\AR\G4 R1.czi
AR,251218,G4 R2,I:\Confocal\By Date\251218 Baiser PDM1\AR\G4 R2.czi
AR,251218,G4 R3,I:\Confocal\By Date\251218 Baiser PDM1\AR\G4 R3.czi
AR,251218,G4 R4,I:\Confocal\By Date\251218 Baiser PDM1\AR\G4 R4.czi
AR,251218,G4 R5,I:\Confocal\By Date\251218 Baiser PDM1\AR\G4 R5.czi
AR,251218,G5 R1,I:\Confocal\By Date\251218 Baiser PDM1\AR\G5 R1.czi
AR,251218,G5 R2,I:\Confocal\By Date\251218 Baiser PDM1\AR\G5 R2.czi
AR,251218,G5 R3,I:\Confocal\By Date\251218 Baiser PDM1\AR\G5 R3.czi
AR,251218,G5 R4,I:\Confocal\By Date\251218 Baiser PDM1\AR\G5 R4.czi
AR,251218,G5 R5,I:\Confocal\By Date\251218 Baiser PDM1\AR\G5 R5.czi
ARS,251218,G1 R1,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G1 R1.czi
ARS,251218,G1 R2,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G1 R2.czi
ARS,251218,G1 R3,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G1 R3.czi
ARS,251218,G1 R4,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G1 R4.czi
ARS,251218,G1 R5,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G1 R5.czi
ARS,251218,G2 R1,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G2 R1.czi
ARS,251218,G2 R2,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G2 R2.czi
ARS,251218,G2 R3,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G2 R3.czi
ARS,251218,G2 R4,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G2 R4.czi
ARS,251218,G2 R5,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G2 R5.czi
ARS,251218,G3 R1,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G3 R1.czi
ARS,251218,G3 R2,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G3 R2.czi
ARS,251218,G3 R3,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G3 R3.czi
ARS,251218,G3 R4,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G3 R4.czi
ARS,251218,G3 R5,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G3 R5.czi
ARS,251218,G4 R1,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G4 R1.czi
ARS,251218,G4 R2,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G4 R2.czi
ARS,251218,G4 R3,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G4 R3.czi
ARS,251218,G4 R4,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G4 R4.czi
ARS,251218,G4 R5,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G4 R5.czi
ARS,251218,G5 R1,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G5 R1.czi
ARS,251218,G5 R2,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G5 R2.czi
ARS,251218,G5 R3,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G5 R3.czi
ARS,251218,G5 R4,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G5 R4.czi
ARS,251218,G5 R5,I:\Confocal\By Date\251218 Baiser PDM1\ARS\G5 R5.czi
AR,250808,G1 R1,I:\Confocal\By Date\250808 ImpL2 InR\AR\G1 R1.czi
AR,250808,G1 R2,I:\Confocal\By Date\250808 ImpL2 InR\AR\G1 R2.czi
AR,250808,G1 R3,I:\Confocal\By Date\250808 ImpL2 InR\AR\G1 R3.czi
AR,250808,G1 R4,I:\Confocal\By Date\250808 ImpL2 InR\AR\G1 R4.czi
AR,250808,G1 R5,I:\Confocal\By Date\250808 ImpL2 InR\AR\G1 R5.czi
AR,250808,G2 R1,I:\Confocal\By Date\250808 ImpL2 InR\AR\G2 R1.czi
AR,250808,G2 R2,I:\Confocal\By Date\250808 ImpL2 InR\AR\G2 R2.czi
AR,250808,G2 R3,I:\Confocal\By Date\250808 ImpL2 InR\AR\G2 R3.czi
AR,250808,G2 R4,I:\Confocal\By Date\250808 ImpL2 InR\AR\G2 R4.czi
AR,250808,G2 R5,I:\Confocal\By Date\250808 ImpL2 InR\AR\G2 R5.czi
AR,250808,G3 R1,I:\Confocal\By Date\250808 ImpL2 InR\AR\G3 R1.czi
AR,250808,G3 R2,I:\Confocal\By Date\250808 ImpL2 InR\AR\G3 R2.czi
AR,250808,G3 R3,I:\Confocal\By Date\250808 ImpL2 InR\AR\G3 R3.czi
AR,250808,G3 R4,I:\Confocal\By Date\250808 ImpL2 InR\AR\G3 R4.czi
AR,250808,G3 R5,I:\Confocal\By Date\250808 ImpL2 InR\AR\G3 R5.czi
AR,250808,G4 R1,I:\Confocal\By Date\250808 ImpL2 InR\AR\G4 R1.czi
AR,250808,G4 R2,I:\Confocal\By Date\250808 ImpL2 InR\AR\G4 R2.czi
AR,250808,G4 R3,I:\Confocal\By Date\250808 ImpL2 InR\AR\G4 R3.czi
AR,250808,G4 R4,I:\Confocal\By Date\250808 ImpL2 InR\AR\G4 R4.czi
AR,250808,G4 R5,I:\Confocal\By Date\250808 ImpL2 InR\AR\G4 R5.czi
AR,250808,G5 R1,I:\Confocal\By Date\250808 ImpL2 InR\AR\G5 R1.czi
AR,250808,G5 R2,I:\Confocal\By Date\250808 ImpL2 InR\AR\G5 R2.czi
AR,250808,G5 R3,I:\Confocal\By Date\250808 ImpL2 InR\AR\G5 R3.czi
AR,250808,G5 R4,I:\Confocal\By Date\250808 ImpL2 InR\AR\G5 R4.czi
AR,250808,G5 R5,I:\Confocal\By Date\250808 ImpL2 InR\AR\G5 R5.czi
ARS,250808,G1 R1,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G1 R1.czi
ARS,250808,G1 R2,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G1 R2.czi
ARS,250808,G1 R3,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G1 R3.czi
ARS,250808,G1 R4,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G1 R4.czi
ARS,250808,G1 R5,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G1 R5.czi
ARS,250808,G2 R1,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G2 R1.czi
ARS,250808,G2 R2,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G2 R2.czi
ARS,250808,G2 R3,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G2 R3.czi
ARS,250808,G2 R4,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G2 R4.czi
ARS,250808,G2 R5,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G2 R5.czi
ARS,250808,G3 R1,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G3 R1.czi
ARS,250808,G3 R2,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G3 R2.czi
ARS,250808,G3 R3,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G3 R3.czi
ARS,250808,G3 R4,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G3 R4.czi
ARS,250808,G3 R5,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G3 R5.czi
ARS,250808,G4 R1,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G4 R1.czi
ARS,250808,G4 R2,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G4 R2.czi
ARS,250808,G4 R3,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G4 R3.czi
ARS,250808,G4 R4,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G4 R4.czi
ARS,250808,G4 R5,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G4 R5.czi
ARS,250808,G5 R1,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G5 R1.czi
ARS,250808,G5 R2,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G5 R2.czi
ARS,250808,G5 R3,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G5 R3.czi
ARS,250808,G5 R4,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G5 R4.czi
ARS,250808,G5 R5,I:\Confocal\By Date\250808 ImpL2 InR\ARS\G5 R5.czi
AR,250815,G1 R1,I:\Confocal\By Date\250815 ImpL2 InR\AR\G1 R1.czi
AR,250815,G1 R2,I:\Confocal\By Date\250815 ImpL2 InR\AR\G1 R2.czi
AR,250815,G1 R3,I:\Confocal\By Date\250815 ImpL2 InR\AR\G1 R3.czi
AR,250815,G1 R4,I:\Confocal\By Date\250815 ImpL2 InR\AR\G1 R4.czi
AR,250815,G1 R5,I:\Confocal\By Date\250815 ImpL2 InR\AR\G1 R5.czi
AR,250815,G2 R1,I:\Confocal\By Date\250815 ImpL2 InR\AR\G2 R1.czi
AR,250815,G2 R2,I:\Confocal\By Date\250815 ImpL2 InR\AR\G2 R2.czi
AR,250815,G2 R3,I:\Confocal\By Date\250815 ImpL2 InR\AR\G2 R3.czi
AR,250815,G2 R4,I:\Confocal\By Date\250815 ImpL2 InR\AR\G2 R4.czi
AR,250815,G2 R5,I:\Confocal\By Date\250815 ImpL2 InR\AR\G2 R5.czi
AR,250815,G3 R1,I:\Confocal\By Date\250815 ImpL2 InR\AR\G3 R1.czi
AR,250815,G3 R2,I:\Confocal\By Date\250815 ImpL2 InR\AR\G3 R2.czi
AR,250815,G3 R3,I:\Confocal\By Date\250815 ImpL2 InR\AR\G3 R3.czi
AR,250815,G3 R4,I:\Confocal\By Date\250815 ImpL2 InR\AR\G3 R4.czi
AR,250815,G3 R5,I:\Confocal\By Date\250815 ImpL2 InR\AR\G3 R5.czi
AR,250815,G4 R1,I:\Confocal\By Date\250815 ImpL2 InR\AR\G4 R1.czi
AR,250815,G4 R2,I:\Confocal\By Date\250815 ImpL2 InR\AR\G4 R2.czi
AR,250815,G4 R3,I:\Confocal\By Date\250815 ImpL2 InR\AR\G4 R3.czi
AR,250815,G4 R4,I:\Confocal\By Date\250815 ImpL2 InR\AR\G4 R4.czi
AR,250815,G4 R5,I:\Confocal\By Date\250815 ImpL2 InR\AR\G4 R5.czi
AR,250815,G5 R1,I:\Confocal\By Date\250815 ImpL2 InR\AR\G5 R1.czi
AR,250815,G5 R2,I:\Confocal\By Date\250815 ImpL2 InR\AR\G5 R2.czi
AR,250815,G5 R3,I:\Confocal\By Date\250815 ImpL2 InR\AR\G5 R3.czi
AR,250815,G5 R4,I:\Confocal\By Date\250815 ImpL2 InR\AR\G5 R4.czi
AR,250815,G5 R5,I:\Confocal\By Date\250815 ImpL2 InR\AR\G5 R5.czi
ARS,250815,G1 R1,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G1 R1.czi
ARS,250815,G1 R2,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G1 R2.czi
ARS,250815,G1 R3,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G1 R3.czi
ARS,250815,G1 R4,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G1 R4.czi
ARS,250815,G1 R5,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G1 R5.czi
ARS,250815,G2 R1,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G2 R1.czi
ARS,250815,G2 R2,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G2 R2.czi
ARS,250815,G2 R3,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G2 R3.czi
ARS,250815,G2 R4,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G2 R4.czi
ARS,250815,G2 R5,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G2 R5.czi
ARS,250815,G3 R1,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G3 R1.czi
ARS,250815,G3 R2,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G3 R2.czi
ARS,250815,G3 R3,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G3 R3.czi
ARS,250815,G3 R4,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G3 R4.czi
ARS,250815,G3 R5,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G3 R5.czi
ARS,250815,G4 R1,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G4 R1.czi
ARS,250815,G4 R2,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G4 R2.czi
ARS,250815,G4 R3,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G4 R3.czi
ARS,250815,G4 R4,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G4 R4.czi
ARS,250815,G4 R5,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G4 R5.czi
ARS,250815,G5 R1,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G5 R1.czi
ARS,250815,G5 R2,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G5 R2.czi
ARS,250815,G5 R3,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G5 R3.czi
ARS,250815,G5 R4,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G5 R4.czi
ARS,250815,G5 R5,I:\Confocal\By Date\250815 ImpL2 InR\ARS\G5 R5.czi
AR,250822,G1 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G1 R1.czi
AR,250822,G1 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G1 R2.czi
AR,250822,G1 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G1 R3.czi
AR,250822,G1 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G1 R4.czi
AR,250822,G1 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G1 R5.czi
AR,250822,G2 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G2 R1.czi
AR,250822,G2 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G2 R2.czi
AR,250822,G2 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G2 R3.czi
AR,250822,G2 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G2 R4.czi
AR,250822,G2 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G2 R5.czi
AR,250822,G3 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G3 R1.czi
AR,250822,G3 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G3 R2.czi
AR,250822,G3 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G3 R3.czi
AR,250822,G3 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G3 R4.czi
AR,250822,G3 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G3 R5.czi
AR,250822,G4 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G4 R1.czi
AR,250822,G4 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G4 R2.czi
AR,250822,G4 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G4 R3.czi
AR,250822,G4 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G4 R4.czi
AR,250822,G4 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G4 R5.czi
AR,250822,G5 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G5 R1.czi
AR,250822,G5 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G5 R2.czi
AR,250822,G5 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G5 R3.czi
AR,250822,G5 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G5 R4.czi
AR,250822,G5 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\AR\G5 R5.czi
ARS,250822,G1 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G1 R1.czi
ARS,250822,G1 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G1 R2.czi
ARS,250822,G1 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G1 R3.czi
ARS,250822,G1 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G1 R4.czi
ARS,250822,G1 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G1 R5.czi
ARS,250822,G2 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G2 R1.czi
ARS,250822,G2 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G2 R2.czi
ARS,250822,G2 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G2 R3.czi
ARS,250822,G2 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G2 R4.czi
ARS,250822,G2 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G2 R5.czi
ARS,250822,G3 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G3 R1.czi
ARS,250822,G3 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G3 R2.czi
ARS,250822,G3 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G3 R3.czi
ARS,250822,G3 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G3 R4.czi
ARS,250822,G3 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G3 R5.czi
ARS,250822,G4 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G4 R1.czi
ARS,250822,G4 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G4 R2.czi
ARS,250822,G4 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G4 R3.czi
ARS,250822,G4 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G4 R4.czi
ARS,250822,G4 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G4 R5.czi
ARS,250822,G5 R1,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G5 R1.czi
ARS,250822,G5 R2,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G5 R2.czi
ARS,250822,G5 R3,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G5 R3.czi
ARS,250822,G5 R4,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G5 R4.czi
ARS,250822,G5 R5,I:\Confocal\By Date\250822 ImpL2 4EBP\ARS\G5 R5.czi
AR,260220,G1 R1,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G1 R1.czi
AR,260220,G1 R2,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G1 R2.czi
AR,260220,G1 R3,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G1 R3.czi
AR,260220,G1 R4,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G1 R4.czi
AR,260220,G1 R5,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G1 R5.czi
AR,260220,G2 R1,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G2 R1.czi
AR,260220,G2 R2,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G2 R2.czi
AR,260220,G2 R3,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G2 R3.czi
AR,260220,G2 R4,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G2 R4.czi
AR,260220,G2 R5,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G2 R5.czi
AR,260220,G3 R1,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G3 R1.czi
AR,260220,G3 R2,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G3 R2.czi
AR,260220,G3 R3,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G3 R3.czi
AR,260220,G3 R4,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G3 R4.czi
AR,260220,G3 R5,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G3 R5.czi
AR,260220,G4 R1,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G4 R1.czi
AR,260220,G4 R2,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G4 R2.czi
AR,260220,G4 R3,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G4 R3.czi
AR,260220,G4 R4,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G4 R4.czi
AR,260220,G4 R5,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G4 R5.czi
AR,260220,G5 R1,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G5 R1.czi
AR,260220,G5 R2,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G5 R2.czi
AR,260220,G5 R3,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G5 R3.czi
AR,260220,G5 R4,I:\Confocal\By Experiment\ImpL2 4EBP FISH 4EBP OE 4EBP RNAi\260220\AR\G5 R4.czi
